Entry: bacʼohya· | Absolutive: bacʼo hya· | Generated Absolutive: bacʼohya·
Entry: *hcoway | Absolutive: cowayʔ co·wayʔ | Generated Absolutive: cowayʔ
Entry: *hcʰa | Absolutive: hcʰa | Generated Absolutive: cʰaw
Entry: he·cʼ | Absolutive: he·cʼ hecʼ | Generated Absolutive: heʔ
Entry: *hihmuhimutad | Absolutive: hihmuhimutadu | Generated Absolutive: hihmuhimuta·du
Entry: *hihpitʼci | Absolutive: hihpitʼ | Generated Absolutive: hihpitʼciw
Entry: *hihpʰa·šma | Absolutive: hihpʰaš | Generated Absolutive: hihpʰašmaw
Entry: *hihpʰihpʰi | Absolutive: hihpʰihpʰiʔ | Generated Absolutive: hihpʰihpʰiw
Entry: *hihsisil | Absolutive: hihsisil | Generated Absolutive: hihsisilʔ
Entry: *hihtsitad | Absolutive: hihtsitadu | Generated Absolutive: hihtsita·du
Entry: *hihtʰihtʰic | Absolutive: hihtʰihtʰiw | Generated Absolutive: hihtʰihtʰiʔ
Entry: *hitayʔta | Absolutive: hihtayʔtaw | Generated Absolutive: hitayʔtaw
Entry: *hiʔqʼoʔdiwad | Absolutive: hiʔqʼoʔdowa·du | Generated Absolutive: hiʔqʼoʔdiwa·du
Entry: *hi·šluc | Absolutive: hi·šluʔ | Generated Absolutive: hišluʔ
Entry: *hkʰošcicʼ | Absolutive: košciʔ | Generated Absolutive: kʰošciʔ
Entry: hoṭʰe·l | Absolutive: hoṭʰe·l | Generated Absolutive: hoṭʰel
Entry: *how do·bic | Absolutive: ho·do·biʔ | Generated Absolutive: how do·biʔ
Entry: *hqa | Absolutive: hqa | Generated Absolutive: qaw
Entry: hqa cuhse | Absolutive: qacuhse | Generated Absolutive: qa cuhse
Entry: *hqʰa cuhcem | Absolutive: qʰacuhcemʔ | Generated Absolutive: qʰa cuhcemʔ
Entry: *hqʰa cuhcew | Absolutive: qʰacuhcew | Generated Absolutive: qʰa cuhcewʔ
Entry: *hqʰa sʼaqa· | Absolutive: qʰasʼaqa· | Generated Absolutive: qʰa sʼaqaw
Entry: huʔuy tol | Absolutive: huʔu·tol | Generated Absolutive: huʔuy tol
Entry: *huʔuyma | Absolutive: huʔu·ma | Generated Absolutive: huʔuymaw
Entry: huʔuymo | Absolutive: huʔu·mo | Generated Absolutive: huʔuymo
Entry: *kacʰiwma | Absolutive: kacʰi·maw | Generated Absolutive: kacʰiwmaw
Entry: kafe· | Absolutive: kafe·y | Generated Absolutive: kafe·
Entry: kalikakʰ | Absolutive: kalikakʰ | Generated Absolutive: kalikaʔ
Entry: *kastika·r | Absolutive: kastika·r | Generated Absolutive: kastikaʔ
Entry: kaṭʰo·fla | Absolutive: kaṭʰo·fla | Generated Absolutive: kaṭʰofla
Entry: kaṭʰo·flas | Absolutive: kaṭʰo·flas | Generated Absolutive: kaṭʰoflas
Entry: kawa·yu hca | Absolutive: kawa·yuhca | Generated Absolutive: kawa·yu hca
Entry: kawa·yu hso | Absolutive: kawa·yuhso | Generated Absolutive: kawa·yu hso
Entry: kiki·ṭʰ | Absolutive: kiki·ṭʰ | Generated Absolutive: kikiʔ
Entry: kʰiwim | Absolutive: kʰiwimʔ | Generated Absolutive: kʰiwim
Entry: *kʰiʔbikʰiʔbi | Absolutive: kʰiʔbikʰibiw | Generated Absolutive: kʰiʔbikʰiʔbiw
Entry: kʰiʔwiʔwi | Absolutive: kʰiʔwiʔwiw | Generated Absolutive: kʰiʔwiʔwi
Entry: kʼana·tad | Absolutive: kʼana·tad | Generated Absolutive: kʼana·taʔ
Entry: *kʼolokʼolo | Absolutive: kʼolokʼólow | Generated Absolutive: kʼolokʼolow
Entry: kʼopʼkʼopʼ | Absolutive: kʼopʼkʼopʼ | Generated Absolutive: kʼopʼkʼoʔ
Entry: lipʰuyhya | Absolutive: lipʰuy hya | Generated Absolutive: lipʰuyhya
Entry: liʔši | Absolutive: liʔšiw | Generated Absolutive: liʔši
Entry: *macʰi | Absolutive: macʰiʔ | Generated Absolutive: macʰiw
Entry: *macʼah | Absolutive: macʼah | Generated Absolutive: macʼaʔ
Entry: *macʼahni | Absolutive: macʼahn | Generated Absolutive: macʼahniw
Entry: *mahkomahkotad | Absolutive: mahkomakota·du | Generated Absolutive: mahkomahkota·du
Entry: *mahkʰiṭʼcicʼ | Absolutive: mahkʰiʔ | Generated Absolutive: mahkʰiṭʼciʔ
Entry: *mahqʰamaqʰata·d | Absolutive: mahqʰamaqʰata·d | Generated Absolutive: mahqʰamaqʰata·du
Entry: *mahqʰayala | Absolutive: mahqʰaya·law | Generated Absolutive: mahqʰayalaw
Entry: makʼahci | Absolutive: maʔkʼahciw | Generated Absolutive: makʼahci
Entry: *matayʔta | Absolutive: mahtayʔtaw | Generated Absolutive: matayʔtaw
Entry: *matʼehtim | Absolutive: matʼehtimaw | Generated Absolutive: matʼehtimʔ
Entry: *maʔṭu | Absolutive: maʔṭʼuw | Generated Absolutive: maʔṭuw
Entry: *maʔṭʼawʔduc | Absolutive: maʔṭʼawʔdu | Generated Absolutive: maʔṭʼawʔduʔ
Entry: *maʔṭʼuṭʰu | Absolutive: maʔṭʼuṭʰuʔ | Generated Absolutive: maʔṭʼuṭʰuw
Entry: mi hcaw | Absolutive: mihcaw | Generated Absolutive: mi hcaw
Entry: *mide·cʼ | Absolutive: mide·du | Generated Absolutive: mideʔ
Entry: *mihcaway | Absolutive: mihcaway | Generated Absolutive: mihcawayʔ
Entry: mihi lahwal | Absolutive: mihilahwal | Generated Absolutive: mihi lahwal
Entry: *mihkomihkotad | Absolutive: mihkomikota·du | Generated Absolutive: mihkomihkota·du
Entry: *mihpʰa·šma | Absolutive: mihpʰaš | Generated Absolutive: mihpʰašmaw
Entry: *mihqʰamiqʰatad | Absolutive: mihqʰamiqʰata·d | Generated Absolutive: mihqʰamiqʰata·du
Entry: *mihtecʼ | Absolutive: mihtenʔ | Generated Absolutive: mihteʔ
Entry: *mikʼahci | Absolutive: miʔkʼahciw | Generated Absolutive: mikʼahciw
Entry: *mikʼahnay | Absolutive: mikʼanayʔ | Generated Absolutive: mikʼahnayʔ
Entry: *mitacʼ | Absolutive: miʔ | Generated Absolutive: mitaʔ
Entry: *mitad | Absolutive: mitadu | Generated Absolutive: mita·du
Entry: *miʔpʼomipʼotad | Absolutive: mipʼomipʼota·du | Generated Absolutive: miʔpʼomipʼota·du
Entry: *mobo·kʼibic | Absolutive: moboʔ | Generated Absolutive: mobokʼi·biʔ
Entry: *mucʼah | Absolutive: mucʼah | Generated Absolutive: mucʼaʔ
Entry: *mucʼahni | Absolutive: mucʼahn | Generated Absolutive: mucʼahniw
Entry: *mucʼonta | Absolutive: mocʼontaw | Generated Absolutive: mucʼontaw
Entry: *muhcehcec | Absolutive: muhcehcew | Generated Absolutive: muhcehceʔ
Entry: *muhmumumutad | Absolutive: muhmumumutadu | Generated Absolutive: muhmumumuta·du
Entry: *muhpitʼci | Absolutive: muhpitʼ | Generated Absolutive: muhpitʼciw
Entry: *muhpʰaqʼ | Absolutive: muhpʰaqʼciw | Generated Absolutive: muhpʰaʔ
Entry: *muhpʰa·šma | Absolutive: muhpʰaš | Generated Absolutive: muhpʰašmaw
Entry: *muhṭʰahṭʰac | Absolutive: mihṭʰahṭʰaw | Generated Absolutive: muhṭʰahṭʰaʔ
Entry: *muhṭʰimuṭʰitad | Absolutive: muhṭʰmuṭʰita·du | Generated Absolutive: muhṭʰimuṭʰita·du
Entry: *mukʰe·duc | Absolutive: mukʰe·dúʔ | Generated Absolutive: mukʰe·duʔ
Entry: *mupʰahšim | Absolutive: mupʰahšiw | Generated Absolutive: mupʰahšimʔ
Entry: *mušucʼaʔyaw | Absolutive: mušucʼaʔyaw | Generated Absolutive: mušucʼaʔyawʔ
Entry: *mutayʔta | Absolutive: muhtayʔtaw | Generated Absolutive: mutayʔtaw
Entry: *muʔṭu | Absolutive: muʔṭʼuw | Generated Absolutive: muʔṭuw
Entry: *mu·qʰašqʰaša | Absolutive: mu·qʰašqʰaša | Generated Absolutive: mu·qʰašqʰašaw
Entry: naṭa ṭʼa·mqa | Absolutive: ṭʼamqaw | Generated Absolutive: naṭa ṭʼamqa
Entry: *na·lamecʼ | Absolutive: na·lameʔ | Generated Absolutive: nala·meʔ
Entry: na·ncʼa | Absolutive: na·ncʼa | Generated Absolutive: nancʼa
Entry: *netʰqa | Absolutive: nétʰqaw | Generated Absolutive: netʰqaw
Entry: *ninetad | Absolutive: ninetadu | Generated Absolutive: nineta·du
Entry: pacew | Absolutive: pʰacew | Generated Absolutive: pacew
Entry: *pahcohco | Absolutive: pahcohco | Generated Absolutive: pahcohcow
Entry: *pahkelh | Absolutive: pahkeʔ | Generated Absolutive: pahkelʔ
Entry: *pahkopahkotad | Absolutive: pahkopakota·du | Generated Absolutive: pahkopahkota·du
Entry: *paki·l | Absolutive: pahkilʔ | Generated Absolutive: pakilʔ
Entry: pataro·n | Absolutive: pataro·n | Generated Absolutive: pataron
Entry: *patayʔta | Absolutive: pahtayʔtaw | Generated Absolutive: patayʔtaw
Entry: patro·n | Absolutive: patro·n | Generated Absolutive: patron
Entry: *patʰil | Absolutive: pʰatʰilʔ | Generated Absolutive: patʰilʔ
Entry: pa·dre | Absolutive: pa·tere | Generated Absolutive: padre
Entry: pe·cʰka | Absolutive: pe·cʰka | Generated Absolutive: pecʰka
Entry: pe·m | Absolutive: pe·m | Generated Absolutive: pem
Entry: picʰe·l | Absolutive: picʰe·l | Generated Absolutive: picʰel
Entry: *pihcopicotad | Absolutive: phicopicota·du | Generated Absolutive: pihcopicota·du
Entry: *pihkopihkotad | Absolutive: pihkopikota·du | Generated Absolutive: pihkopihkota·du
Entry: *pihlokʼpihlokʼ | Absolutive: pihlokpihloʔ | Generated Absolutive: pihlokʼpihloʔ
Entry: *pihpihpi | Absolutive: pihpihpi | Generated Absolutive: pihpihpiw
Entry: *pihpitʼci | Absolutive: pihpitʼci | Generated Absolutive: pihpitʼciw
Entry: *piliʔli | Absolutive: piliʔli | Generated Absolutive: piliʔliw
Entry: *pisalka | Absolutive: pisalksa | Generated Absolutive: pisalkaw
Entry: pi·tʰuštʰušu | Absolutive: pi·tʰušpušu | Generated Absolutive: pi·tʰuštʰušu
Entry: *pocʰo·l | Absolutive: pocʰo·l | Generated Absolutive: pocʰolʔ
Entry: po·tʰlo | Absolutive: po·tʰlo | Generated Absolutive: potʰlo
Entry: *puhcʰahcʰac | Absolutive: puhcʰahcʰaw | Generated Absolutive: puhcʰahcʰaʔ
Entry: *puhkelh | Absolutive: puhkela·tadu | Generated Absolutive: puhkelʔ
Entry: *puhsihsi | Absolutive: puhsiw | Generated Absolutive: puhsihsiw
Entry: *pulakʼat | Absolutive: ulakʼaʔ | Generated Absolutive: pulakʼaʔ
Entry: punya·l | Absolutive: punya·l | Generated Absolutive: punyal
