Entry: *bahwe·n | Absolutive: bahwenʔ | Generated Absolutive: bahwenʔ
Entry: *bahwi | Absolutive: bahwiw | Generated Absolutive: bahwiw
Entry: bahya | Absolutive: bahya | Generated Absolutive: bahyaw
Entry: *bahyol | Absolutive: bahyolʔ | Generated Absolutive: bahyolʔ
Entry: *bahyo·c | Absolutive: bahyoʔ | Generated Absolutive: bahyoʔ
Entry: *baki·lma | Absolutive: bakilmaw | Generated Absolutive: baki·lmaw
Entry: *bakuhṭi | Absolutive: bakuhṭiw | Generated Absolutive: bakuhṭiw
Entry: *baku·ṭ | Absolutive: bakuʔ | Generated Absolutive: bakuʔ
Entry: *bakʰeyʔtacʼ | Absolutive: bakʰeyʔtaʔ | Generated Absolutive: bakʰeyʔtaʔ
Entry: *bakʰi | Absolutive: bakʰiw | Generated Absolutive: bakʰiw
Entry: *bakʰot | Absolutive: bakʰoʔ | Generated Absolutive: bakʰoʔ
Entry: *bakʰu·l | Absolutive: bakʰulʔ | Generated Absolutive: bakʰulʔ
Entry: *bakʼat | Absolutive: bakʼaʔ | Generated Absolutive: bakʼaʔ
Entry: *bakʼehnic | Absolutive: bakʼehniʔ | Generated Absolutive: bakʼehniʔ
Entry: *bakʼe·nci | Absolutive: bakʼenciw | Generated Absolutive: bakʼe·nciw
Entry: *bakʼihši | Absolutive: bakʼihšiw | Generated Absolutive: bakʼihšiw
Entry: *bakʼi·š | Absolutive: bakʼiš | Generated Absolutive: bakʼiš
Entry: *bakʼo·c | Absolutive: bakʼoʔ | Generated Absolutive: bakʼoʔ
Entry: *bakʼo·cʰqa | Absolutive: bakʼocʰqaw | Generated Absolutive: bakʼo·cʰqaw
Entry: *bakʼo·l | Absolutive: bakʼolʔ | Generated Absolutive: bakʼolʔ
Entry: *bakʼumaq | Absolutive: bakʼumaʔ | Generated Absolutive: bakʼumaʔ
Entry: *bakʼuma·cʼed | Absolutive: bakʼuma·cʼedu | Generated Absolutive: bakʼuma·cʼedu
Entry: *bakʼumicʼ | Absolutive: bakʼumiʔ | Generated Absolutive: bakʼumiʔ
Entry: *bakʼummahqa | Absolutive: bakʼummahqaw | Generated Absolutive: bakʼummahqaw
Entry: *balebalec | Absolutive: balebaleʔ | Generated Absolutive: balebaleʔ
Entry: *balebalewad | Absolutive: balebalewa·du | Generated Absolutive: balebalewa·du
Entry: *bale·m | Absolutive: balemʔ | Generated Absolutive: balemʔ
Entry: *bamahci | Absolutive: None | Generated Absolutive: bamahciw
Entry: *bamat | Absolutive: bamaʔ | Generated Absolutive: bamaʔ
Entry: *bamat | Absolutive: bamaʔ | Generated Absolutive: bamaʔ
Entry: *bamayic | Absolutive: bamayiʔ | Generated Absolutive: bamayiʔ
Entry: *bana | Absolutive: banaw | Generated Absolutive: banaw
Entry: *banac | Absolutive: banaʔ | Generated Absolutive: banaʔ
Entry: *bana·la | Absolutive: bana·law | Generated Absolutive: bana·law
Entry: *bana·lahqa | Absolutive: bana·lahqaw | Generated Absolutive: bana·lahqaw
Entry: *bana·lamecʼ | Absolutive: bana·lameʔ | Generated Absolutive: bana·lameʔ
Entry: *bana·loq | Absolutive: bana·loʔ | Generated Absolutive: bana·loʔ
Entry: *bana·q | Absolutive: banaʔ | Generated Absolutive: banaʔ
Entry: *bana·qac | Absolutive: bana·qaʔ | Generated Absolutive: bana·qaʔ
Entry: *baqʰaṭʼqʰaʔṭʼa | Absolutive: baqʰaṭʼqʰaʔṭʼaw | Generated Absolutive: baqʰaṭʼqʰaʔṭʼaw
Entry: *baqʰa· | Absolutive: baqʰaw | Generated Absolutive: baqʰaw
Entry: *baqʰa·ṭʰqa | Absolutive: baqʰaṭʰqaw | Generated Absolutive: baqʰa·ṭʰqaw
