Entry: *cuhqʰayad | Absolutive: cuhqʰayadu | Generated Absolutive: cuhqʰaya·du
Entry: cuhse | Absolutive: cuhse | Generated Absolutive: cuhsew
Entry: cuhši·li | Absolutive: cuhši·li | Generated Absolutive: cuhši·liw
Entry: *cuhtecʼ | Absolutive: cuhtenʔ | Generated Absolutive: cuhteʔ
Entry: *cuhtsitad | Absolutive: cuhtsitadu | Generated Absolutive: cuhtsita·du
Entry: *cuhtʰuhtʰu | Absolutive: cuhtʰuʔ | Generated Absolutive: cuhtʰuhtʰuw
Entry: *cuhṭʰahṭʰac | Absolutive: cuhṭʰahṭʰaw | Generated Absolutive: cuhṭʰahṭʰaʔ
Entry: cuhu lahwal | Absolutive: cuhulahwal | Generated Absolutive: cuhu lahwalʔ
Entry: *cukʼahci | Absolutive: cuʔkʼahciw | Generated Absolutive: cukʼahciw
Entry: *cukʼaṭʰic | Absolutive: cukʼaṭʰiw | Generated Absolutive: cukʼaṭʰiʔ
Entry: *culi·tʰma | Absolutive: culitʰmaw | Generated Absolutive: culi·tʰmaw
Entry: cumatʰmaw | Absolutive: cumatʰmaw | Generated Absolutive: cumatʰmawʔ
Entry: *cupot | Absolutive: copoʔ | Generated Absolutive: cupoʔ
Entry: cusʼica·qaʔli | Absolutive: cusʼica·qaʔli | Generated Absolutive: cusʼica·qaʔliw
Entry: *cutayʔta | Absolutive: cuhtayʔtaw | Generated Absolutive: cutayʔtaw
Entry: cuʔcʼu | Absolutive: cuʔcʼu | Generated Absolutive: cuʔcʼuw
Entry: cuʔṭʼe | Absolutive: cuʔṭʼe | Generated Absolutive: cuʔṭʼew
Entry: cʰanama | Absolutive: cʰanama | Generated Absolutive: cʰanamaw
Entry: cʰawi·li | Absolutive: cʰawi·li | Generated Absolutive: cʰawi·liw
Entry: cʰa·ya | Absolutive: cʰa·ya | Generated Absolutive: cʰa·yaw
Entry: cʰipu·pu | Absolutive: cʰipu·pu | Generated Absolutive: cʰipu·puw
Entry: cʰiṭu· | Absolutive: cʰiṭu· | Generated Absolutive: cʰiṭuw
Entry: *cʰiʔcʼam | Absolutive: cʰiʔcʼaw | Generated Absolutive: cʰiʔcʼamʔ
Entry: cʰiʔtʼaʔli | Absolutive: cʰiʔtʼaʔli | Generated Absolutive: cʰiʔtʼaʔliw
Entry: cʰiʔṭʼo | Absolutive: cʰiʔṭʼo | Generated Absolutive: cʰiʔṭʼow
Entry: cʰiʔyo | Absolutive: cʰiʔyo | Generated Absolutive: cʰiʔyow
Entry: cʰo·ʔnati | Absolutive: cʰoʔnati | Generated Absolutive: cʰo·ʔnatiw
Entry: cʼalal | Absolutive: cʼalal | Generated Absolutive: cʼalalʔ
Entry: cʼayʔcʼa | Absolutive: cʼayʔcʼa | Generated Absolutive: cʼayʔcʼaw
Entry: cʼe· | Absolutive: cʼe· | Generated Absolutive: cʼew
Entry: *cʼe·lci | Absolutive: cʼelciw | Generated Absolutive: cʼe·lciw
Entry: cʼica·ca | Absolutive: cʼica·ca | Generated Absolutive: cʼica·caw
Entry: cʼiya· | Absolutive: cʼiya· | Generated Absolutive: cʼiyaw
Entry: cʼohto | Absolutive: cʼohto | Generated Absolutive: cʼohtow
Entry: cʼum | Absolutive: cʼum | Generated Absolutive: cʼumʔ
